Date_ID,Year,Month,Day
200318,1970,6,2
200319,1970,6,2
200320,1970,6,3
200321,1970,6,4
200322,1970,6,5
200323,1970,6,6
200324,1970,6,6
200325,1970,6,6
200326,1970,6,6
200327,1970,6,6
200328,1970,6,7
200329,1970,6,7
200330,1970,6,7
200331,1970,6,8
200332,1970,6,8
200333,1970,6,9
200334,1970,6,9
200335,1970,6,9
200336,1970,6,9
200337,1970,6,9
200338,1970,6,9
200339,1970,6,9
200340,1970,6,10
200341,1970,6,11
200342,1970,6,11
200343,1970,6,11
200344,1970,6,12
200345,1970,6,12
200346,1970,6,12
200347,1970,6,13
200348,1970,6,13
200349,1970,6,14
200350,1970,6,14
200351,1970,6,15
200352,1970,6,17
200353,1970,6,18
200354,1970,6,18
200355,1970,6,19
200356,1970,6,19
200357,1970,6,19
200358,1970,6,19
200359,1970,6,21
200360,1970,6,23
200361,1970,6,23
200362,1970,6,23
200363,1970,6,25
200364,1970,6,26
200365,1970,6,27
200366,1970,6,27
200367,1970,6,27
200368,1970,6,27
200369,1970,6,28
200370,1970,6,29
200371,1970,6,29
200372,1970,6,30
200373,1970,6,30
200374,1970,6,30
200375,1970,6,30
200376,1970,6,30
200377,1970,7,0
200378,1970,7,0
200379,1970,7,1
200380,1970,7,1
200381,1970,7,1
200382,1970,7,2
200383,1970,7,2
200384,1970,7,2
200385,1970,7,2
200386,1970,7,2
200387,1970,7,2
200388,1970,7,3
200389,1970,7,3
200390,1970,7,4
200391,1970,7,4
200392,1970,7,4
200393,1970,7,4
200394,1970,7,4
200395,1970,7,4
200396,1970,7,5
200397,1970,7,7
200398,1970,7,7
200399,1970,7,7
200400,1970,7,7
200401,1970,7,8
200402,1970,7,8
200403,1970,7,9
200404,1970,7,9
200405,1970,7,10
200406,1970,7,11
200407,1970,7,11
200408,1970,7,12
200409,1970,7,14
200410,1970,7,14
200411,1970,7,16
200412,1970,7,16
200413,1970,7,16
200414,1970,7,17
200415,1970,7,18
200416,1970,7,20
200417,1970,7,21
200418,1970,7,21
200419,1970,7,21
200420,1970,7,21
200421,1970,7,22
200422,1970,7,22
200423,1970,7,22
200424,1970,7,23
200425,1970,7,23
200426,1970,7,24
200427,1970,7,24
200428,1970,7,26
200429,1970,7,26
200430,1970,7,27
200431,1970,7,26
200432,1970,7,26
200433,1970,7,27
200434,1970,7,27
200435,1970,7,28
200436,1970,7,28
200437,1970,7,28
200438,1970,7,30
200439,1970,7,30
200440,1970,7,31
200441,1970,7,31
200442,1970,7,31
200443,1970,7,31
200444,1970,7,31
200445,1970,8,0
200446,1970,8,1
200447,1970,8,1
200448,1970,8,2
200449,1970,8,5
200450,1970,8,6
200451,1970,8,6
200452,1970,8,6
200453,1970,8,7
200454,1970,8,7
200455,1970,8,7
200456,1970,8,9
200457,1970,8,10
200458,1970,8,11
200459,1970,8,12
200460,1970,8,14
200461,1970,8,15
200462,1970,8,17
200463,1970,8,17
200464,1970,8,18
200465,1970,8,19
200466,1970,8,20
200467,1970,8,20
200468,1970,8,20
200469,1970,8,21
200470,1970,8,21
200471,1970,8,22
200472,1970,8,22
200473,1970,8,24
200474,1970,8,25
200475,1970,8,25
200476,1970,8,27
200477,1970,8,27
200478,1970,8,28
200479,1970,8,28
200480,1970,8,29
200481,1970,8,29
200482,1970,8,29
200483,1970,8,29
200484,1970,8,30
200485,1970,8,30
200486,1970,8,31
200487,1970,9,0
200488,1970,9,0
200489,1970,9,1
200490,1970,9,2
200491,1970,9,2
200492,1970,9,2
200493,1970,9,3
200494,1970,9,3
200495,1970,9,4
200496,1970,9,4
200497,1970,9,4
200498,1970,9,4
200499,1970,9,4
200500,1970,9,5
200501,1970,9,5
200502,1970,9,6
200503,1970,9,6
200504,1970,9,6
200505,1970,9,6
200506,1970,9,6
200507,1970,9,9
200508,1970,9,9
200509,1970,9,9
200510,1970,9,10
200511,1970,9,11
200512,1970,9,11
200513,1970,9,12
200514,1970,9,12
200515,1970,9,14
200516,1970,9,16
200517,1970,9,18
200518,1970,9,18
200519,1970,9,20
200520,1970,9,23
200521,1970,9,23
200522,1970,9,24
200523,1970,9,24
200524,1970,9,25
200525,1970,9,26
200526,1970,9,26
200527,1970,9,27
200528,1970,9,30
200529,1970,10,0
200530,1970,10,1
200531,1970,10,2
200532,1970,10,2
200533,1970,10,2
200534,1970,10,3
200535,1970,10,3
200536,1970,10,5
200537,1970,10,5
200538,1970,10,5
200539,1970,10,6
200540,1970,10,6
200541,1970,10,8
200542,1970,10,8
200543,1970,10,8
200544,1970,10,8
200545,1970,10,8
200546,1970,10,8
200547,1970,10,9
200548,1970,10,10
200549,1970,10,10
200550,1970,10,10
200551,1970,10,14
200552,1970,10,14
200553,1970,10,15
200554,1970,10,15
200555,1970,10,15
200556,1970,10,15
200557,1970,10,15
200558,1970,10,15
200559,1970,10,16
200560,1970,10,17
200561,1970,10,18
200562,1970,10,19
200563,1970,10,20
200564,1970,10,20
200565,1970,10,21
200566,1970,10,21
200567,1970,10,22
200568,1970,10,24
200569,1970,10,24
200570,1970,10,24
200571,1970,10,24
200572,1970,10,25
200573,1970,10,26
200574,1970,10,27
200575,1970,10,27
200576,1970,10,27
200577,1970,10,28
200578,1970,10,28
200579,1970,10,29
200580,1970,10,30
200581,1970,10,30
200582,1970,10,30
200583,1970,10,30
200584,1970,11,0
200585,1970,11,1
200586,1970,11,1
200587,1970,11,1
200588,1970,11,1
200589,1970,11,1
200590,1970,11,2
200591,1970,11,2
200592,1970,11,7
200593,1970,11,7
200594,1970,11,7
200595,1970,11,8
200596,1970,11,9
200597,1970,11,10
200598,1970,11,12
200599,1970,11,14
200600,1970,11,14
200601,1970,11,14
200602,1970,11,14
200603,1970,11,15
200604,1970,11,15
200605,1970,11,16
200606,1970,11,18
200607,1970,11,20
200608,1970,11,20
200609,1970,11,20
200610,1970,11,21
200611,1970,11,21
200612,1970,11,21
200613,1970,11,21
200614,1970,11,22
200615,1970,11,22
200616,1970,11,23
200617,1970,11,23
200618,1970,11,25
200619,1970,11,25
200620,1970,11,25
200621,1970,11,25
200622,1970,11,28
200623,1970,11,29
200624,1970,11,29
200625,1970,12,1
200626,1970,12,1
200627,1970,12,1
200628,1970,12,1
200629,1970,12,7
200630,1970,12,11
200631,1970,12,11
200632,1970,12,13
200633,1970,12,14
200634,1970,12,14
200635,1970,12,15
200636,1970,12,15
200637,1970,12,16
200638,1970,12,16
200639,1970,12,16
200640,1970,12,17
200641,1970,12,18
200642,1970,12,22
200643,1970,12,23
200644,1970,12,24
200645,1970,12,27
200646,1970,12,29
200647,1970,12,29
200648,1970,12,30
200649,1970,12,31
200650,1970,12,31
200651,1971,1,1
200652,1971,1,4
200653,1971,1,5
200654,1971,1,5
200655,1971,1,6
200656,1971,1,7
200657,1971,1,8
200658,1971,1,8
200659,1971,1,8
200660,1971,1,9
200661,1971,1,9
200662,1971,1,11
200663,1971,1,11
200664,1971,1,11
200665,1971,1,12
200666,1971,1,13
200667,1971,1,13
200668,1971,1,15
200669,1971,1,15
200670,1971,1,15
200671,1971,1,16
200672,1971,1,17
200673,1971,1,19
200674,1971,1,19
200675,1971,1,19
200676,1971,1,21
200677,1971,1,22
200678,1971,1,22
200679,1971,1,22
200680,1971,1,24
200681,1971,1,24
200682,1971,1,25
200683,1971,1,25
200684,1971,1,26
200685,1971,1,27
200686,1971,1,27
200687,1971,1,27
200688,1971,1,27
200689,1971,1,28
200690,1971,1,28
200691,1971,1,29
200692,1971,1,29
200693,1971,1,29
200694,1971,1,29
200695,1971,2,2
200696,1971,2,2
200697,1971,2,3
200698,1971,2,4
200699,1971,2,4
200700,1971,2,5
200701,1971,2,6
200702,1971,2,6
200703,1971,2,7
200704,1971,2,8
200705,1971,2,8
200706,1971,2,9
200707,1971,2,9
200708,1971,2,10
200709,1971,2,10
200710,1971,2,10
200711,1971,2,11
200712,1971,2,11
200713,1971,2,12
200714,1971,2,12
200715,1971,2,12
200716,1971,2,13
200717,1971,2,14
200718,1971,2,15
200719,1971,2,15
200720,1971,2,16
200721,1971,2,16
200722,1971,2,16
200723,1971,2,16
200724,1971,2,16
200725,1971,2,17
200726,1971,2,17
200727,1971,2,19
200728,1971,2,20
200729,1971,2,20
200730,1971,2,20
200731,1971,2,21
200732,1971,2,21
200733,1971,2,22
200734,1971,2,26
200735,1971,2,26
200736,1971,2,27
200737,1971,2,27
200738,1971,3,0
200739,1971,3,0
200740,1971,3,1
200741,1971,3,1
200742,1971,3,1
200743,1971,3,1
200744,1971,3,2
200745,1971,3,3
200746,1971,3,3
200747,1971,3,4
200748,1971,3,5
200749,1971,3,6
200750,1971,3,6
200751,1971,3,7
200752,1971,3,7
200753,1971,3,8
200754,1971,3,8
200755,1971,3,8
200756,1971,3,9
200757,1971,3,9
200758,1971,3,10
200759,1971,3,10
200760,1971,3,10
200761,1971,3,11
200762,1971,3,12
200763,1971,3,14
200764,1971,3,14
200765,1971,3,15
200766,1971,3,15
200767,1971,3,15
200768,1971,3,16
200769,1971,3,17
200770,1971,3,18
200771,1971,3,18
200772,1971,3,19
200773,1971,3,19
200774,1971,3,21
200775,1971,3,23
200776,1971,3,23
200777,1971,3,23
200778,1971,3,25
200779,1971,3,27
200780,1971,3,27
200781,1971,3,28
200782,1971,3,30
200783,1971,3,30
200784,1971,3,30
200785,1971,3,30
200786,1971,3,30
200787,1971,3,31
200788,1971,4,0
200789,1971,4,0
200790,1971,4,0
200791,1971,4,1
200792,1971,4,2
200793,1971,4,2
200794,1971,4,2
200795,1971,4,3
200796,1971,4,3
200797,1971,4,3
200798,1971,4,3
200799,1971,4,5
200800,1971,4,5
200801,1971,4,5
200802,1971,4,6
200803,1971,4,6
200804,1971,4,6
200805,1971,4,6
200806,1971,4,6
200807,1971,4,7
200808,1971,4,7
200809,1971,4,8
200810,1971,4,11
200811,1971,4,11
200812,1971,4,12
200813,1971,4,14
200814,1971,4,14
200815,1971,4,15
200816,1971,4,17
200817,1971,4,19
200818,1971,4,19
200819,1971,4,19
200820,1971,4,19
200821,1971,4,20
200822,1971,4,20
200823,1971,4,20
200824,1971,4,22
200825,1971,4,23
200826,1971,4,23
200827,1971,4,23
200828,1971,4,23
200829,1971,4,23
200830,1971,4,24
200831,1971,4,25
200832,1971,4,25
200833,1971,4,26
200834,1971,4,27
200835,1971,4,27
200836,1971,4,28
200837,1971,4,28
200838,1971,4,29
200839,1971,4,29
200840,1971,4,29
200841,1971,4,29
