Country_ID,Country_Name
217,United States
38,Canada
94,Iran
217,United States
217,United States
362,West Germany (FRG)
217,United States
218,Uruguay
218,Uruguay
218,Uruguay
218,Uruguay
217,United States
11,Argentina
362,West Germany (FRG)
217,United States
217,United States
11,Argentina
217,United States
14,Australia
217,United States
217,United States
217,United States
98,Italy
217,United States
217,United States
217,United States
217,United States
11,Argentina
209,Turkey
603,United Kingdom
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
94,Iran
153,Pakistan
217,United States
217,United States
217,United States
217,United States
11,Argentina
11,Argentina
499,East Germany (GDR)
217,United States
217,United States
217,United States
362,West Germany (FRG)
209,Turkey
217,United States
217,United States
217,United States
217,United States
217,United States
11,Argentina
217,United States
603,United Kingdom
217,United States
11,Argentina
11,Argentina
11,Argentina
209,Turkey
218,Uruguay
217,United States
217,United States
160,Philippines
217,United States
217,United States
209,Turkey
217,United States
217,United States
217,United States
217,United States
218,Uruguay
362,West Germany (FRG)
218,Uruguay
185,Spain
218,Uruguay
218,Uruguay
217,United States
30,Brazil
217,United States
218,Uruguay
218,Uruguay
217,United States
217,United States
217,United States
217,United States
218,Uruguay
218,Uruguay
217,United States
218,Uruguay
217,United States
217,United States
603,United Kingdom
209,Turkey
217,United States
209,Turkey
11,Argentina
185,Spain
362,West Germany (FRG)
217,United States
217,United States
362,West Germany (FRG)
217,United States
217,United States
217,United States
209,Turkey
218,Uruguay
362,West Germany (FRG)
217,United States
217,United States
217,United States
218,Uruguay
209,Turkey
217,United States
217,United States
217,United States
362,West Germany (FRG)
230,Zambia
217,United States
217,United States
362,West Germany (FRG)
217,United States
217,United States
217,United States
217,United States
83,Guatemala
209,Turkey
209,Turkey
65,Ethiopia
11,Argentina
217,United States
209,Turkey
209,Turkey
217,United States
218,Uruguay
218,Uruguay
218,Uruguay
603,United Kingdom
58,Dominican Republic
58,Dominican Republic
362,West Germany (FRG)
209,Turkey
217,United States
11,Argentina
209,Turkey
209,Turkey
218,Uruguay
217,United States
217,United States
217,United States
362,West Germany (FRG)
603,United Kingdom
603,United Kingdom
209,Turkey
94,Iran
603,United Kingdom
217,United States
209,Turkey
198,Sweden
217,United States
222,Venezuela
209,Turkey
160,Philippines
209,Turkey
217,United States
217,United States
217,United States
209,Turkey
603,United Kingdom
217,United States
217,United States
217,United States
217,United States
217,United States
209,Turkey
209,Turkey
209,Turkey
49,Costa Rica
209,Turkey
217,United States
222,Venezuela
209,Turkey
217,United States
603,United Kingdom
217,United States
217,United States
217,United States
160,Philippines
160,Philippines
222,Venezuela
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
209,Turkey
217,United States
217,United States
217,United States
217,United States
217,United States
603,United Kingdom
217,United States
217,United States
217,United States
362,West Germany (FRG)
218,Uruguay
362,West Germany (FRG)
603,United Kingdom
217,United States
217,United States
209,Turkey
209,Turkey
142,Netherlands
218,Uruguay
217,United States
217,United States
217,United States
185,Spain
217,United States
362,West Germany (FRG)
217,United States
217,United States
217,United States
217,United States
217,United States
98,Italy
209,Turkey
217,United States
11,Argentina
209,Turkey
217,United States
217,United States
160,Philippines
217,United States
217,United States
94,Iran
94,Iran
94,Iran
217,United States
102,Jordan
185,Spain
217,United States
185,Spain
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
209,Turkey
209,Turkey
209,Turkey
217,United States
217,United States
94,Iran
198,Sweden
217,United States
209,Turkey
11,Argentina
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
185,Spain
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
11,Argentina
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
185,Spain
26,Bolivia
209,Turkey
217,United States
217,United States
217,United States
94,Iran
185,Spain
217,United States
217,United States
217,United States
217,United States
217,United States
362,West Germany (FRG)
222,Venezuela
217,United States
217,United States
217,United States
217,United States
217,United States
185,Spain
603,United Kingdom
217,United States
217,United States
217,United States
217,United States
58,Dominican Republic
217,United States
217,United States
217,United States
217,United States
26,Bolivia
217,United States
217,United States
94,Iran
209,Turkey
78,Greece
209,Turkey
499,East Germany (GDR)
94,Iran
499,East Germany (GDR)
499,East Germany (GDR)
499,East Germany (GDR)
217,United States
217,United States
217,United States
217,United States
603,United Kingdom
11,Argentina
217,United States
217,United States
603,United Kingdom
217,United States
185,Spain
217,United States
217,United States
185,Spain
217,United States
185,Spain
217,United States
217,United States
406,South Yemen
217,United States
217,United States
185,Spain
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
185,Spain
217,United States
217,United States
185,Spain
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
603,United Kingdom
603,United Kingdom
185,Spain
185,Spain
185,Spain
217,United States
217,United States
217,United States
217,United States
209,Turkey
11,Argentina
217,United States
185,Spain
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
185,Spain
217,United States
185,Spain
603,United Kingdom
603,United Kingdom
217,United States
217,United States
98,Italy
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
603,United Kingdom
603,United Kingdom
217,United States
36,Cambodia
36,Cambodia
217,United States
217,United States
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
110,Lebanon
102,Jordan
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
102,Jordan
97,Israel
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
603,United Kingdom
217,United States
98,Italy
217,United States
217,United States
94,Iran
362,West Germany (FRG)
217,United States
217,United States
217,United States
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
102,Jordan
161,Poland
217,United States
603,United Kingdom
94,Iran
209,Turkey
217,United States
217,United States
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
96,Ireland
217,United States
603,United Kingdom
185,Spain
217,United States
603,United Kingdom
217,United States
30,Brazil
30,Brazil
30,Brazil
209,Turkey
603,United Kingdom
603,United Kingdom
102,Jordan
217,United States
603,United Kingdom
603,United Kingdom
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
603,United Kingdom
362,West Germany (FRG)
201,Taiwan
217,United States
14,Australia
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
60,Egypt
603,United Kingdom
185,Spain
362,West Germany (FRG)
603,United Kingdom
94,Iran
217,United States
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
217,United States
217,United States
603,United Kingdom
603,United Kingdom
185,Spain
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
199,Switzerland
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
217,United States
209,Turkey
603,United Kingdom
156,Panama
160,Philippines
106,Kuwait
185,Spain
11,Argentina
603,United Kingdom
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
217,United States
603,United Kingdom
603,United Kingdom
155,West Bank and Gaza Strip
94,Iran
94,Iran
94,Iran
209,Turkey
217,United States
217,United States
603,United Kingdom
185,Spain
603,United Kingdom
217,United States
15,Austria
236,Czechoslovakia
217,United States
217,United States
217,United States
603,United Kingdom
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
217,United States
217,United States
